aluno;nivel;curso;unidade;ano_ingresso;forma_ingresso;cota_ingresso;data_nascimento;sexo;raca_cor;status_aluno;data_registro_diploma;bolsa
Aluno434624;Graduação;CIÊNCIAS SOCIAIS;DEPARTAMENTO DE SOCIOLOGIA;2,010;Dupla Habilitação             ;Universal;21/12/1985;M;Branco;CANCELADO;;
Aluno1566163;Graduação;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;DEPTO LINGUISTICA, PORT. LING. CLASSICAS;2,011;Dupla Habilitação             ;Universal;04/05/1988;M;Pardo;CANCELADO;;
Aluno1564110;Graduação;GEOGRAFIA;DEPTO GEOGRAFIA;2,010;Dupla Habilitação             ;Universal;01/11/1988;M;Não Informado;NÃO CADASTRADO;;
Aluno440295;Graduação;QUÍMICA;INSTITUTO DE QUÍMICA;2,011;Duplo Curso                   ;Universal;08/08/1988;M;Pardo;CANCELADO;;
Aluno419711;Graduação;PEDAGOGIA;FACULDADE DE EDUCAÇÃO;2,013;Mudança de Curso;Universal;29/08/1989;F;Não Informado;CANCELADO;;
Aluno2626764;Graduação;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;DEPTO LINGUISTICA, PORT. LING. CLASSICAS;2,010;Dupla Habilitação             ;Universal;01/10/1988;M;Não Informado;CANCELADO;;
Aluno76542;Graduação;ARTES VISUAIS;DEPTO ARTES VISUAIS;2,011;Mudança de Curso;Universal;20/05/1989;F;Não Informado;CANCELADO;;
Aluno445694;Graduação;ARTES CÊNICAS;DEPTO ARTES CÊNICAS;2,012;Dupla Habilitação             ;Universal;02/03/1990;F;Não Informado;CONCLUÍDO;08/02/2023;
Aluno22277;Graduação;ENGENHARIA;FACULDADE DO GAMA;2,015;Mudança de Curso;Universal;30/04/1980;M;Branco;CANCELADO;;ALIMENTAÇÃO
Aluno22277;Graduação;ENGENHARIA;FACULDADE DO GAMA;2,015;Mudança de Curso;Universal;30/04/1980;M;Branco;CANCELADO;;INCLUSÃO DIGITAL - 2000 (R$ 2.000,00)
Aluno2926;Graduação;ADMINISTRAÇÃO;DEPTO ADMINISTRAÇÃO;2,013;Mudança de Curso;Universal;10/03/1990;M;Branco;CONCLUÍDO;28/07/2022;
Aluno1569601;Graduação;CIÊNCIAS SOCIAIS - SOCIOLOGIA;DEPARTAMENTO DE SOCIOLOGIA;2,010;Mudança de Curso;Universal;01/06/1990;F;Branco;CANCELADO;;
Aluno465907;Graduação;ENGENHARIA DE PRODUÇÃO;DEPTO ENGENHARIA DE PRODUCAO;2,013;Mudança de Curso;Universal;24/11/1989;M;Branco;CANCELADO;;
Aluno464651;Graduação;PSICOLOGIA;INSTITUTO DE PSICOLOGIA;2,019;DUPLA DIPLOMAÇÃO;Universal;18/10/1988;F;Pardo;CANCELADO;;
Aluno21445;Graduação;DIREITO;FACULDADE DE DIREITO;2,014;Mudança de Curso;Candidato Negro;16/11/1985;F;Negro;CONCLUÍDO;26/04/2023;
Aluno442592;Graduação;FILOSOFIA;DEPTO FILOSOFIA;2,015;VESTIBULAR;Universal;23/10/1974;M;Pardo;CONCLUÍDO;20/09/2023;
Aluno448431;Graduação;CIÊNCIAS SOCIAIS;DEPARTAMENTO DE SOCIOLOGIA;2,018;DUPLA DIPLOMAÇÃO;Universal;23/03/1989;M;Branco;CANCELADO;;
Aluno21067;Graduação;ARQUITETURA E URBANISMO;FACULDADE DE ARQUITETURA E URBANISMO;2,014;Mudança de Curso;Universal;12/02/1991;M;Branco;CONCLUÍDO;24/02/2022;
